Date,20-01-25,20-01-26,20-01-27,20-01-28,20-01-29,20-01-30,20-01-31,20-02-01,20-02-02,20-02-03,20-02-04,20-02-05,20-02-06,20-02-07,20-02-08,20-02-09,20-02-10,20-02-11,20-02-12,20-02-13,20-02-14,20-02-15,20-02-16,20-02-17,20-02-18,20-02-19,20-02-20,20-02-21,20-02-22,20-02-23,20-02-24,20-02-25,20-02-26,20-02-27,20-02-28,20-02-29,20-03-01,20-03-02,20-03-03,20-03-04,20-03-05,20-03-06,20-03-07,20-03-08,20-03-09,20-03-10,20-03-11,20-03-12,20-03-13,20-03-14,20-03-15,20-03-16,20-03-17,20-03-18,20-03-19,20-03-20,20-03-21,20-03-22,20-03-23,20-03-24,20-03-25,20-03-26,20-03-27,20-03-28,20-03-29,20-03-30,20-03-31,20-04-01
Canada,1,1,3,4,4,4,5,5,5,5,6,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,10,10,10,11,12,12,13,15,17,21,25,25,32,32,44,52,58,65,84,93,113,153,194,242,326,422,578,707,852,1064,1307,1448,2067,2767,3384,4018,4732,5630,6295,7449,8585,9703
AB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,4,14,14,19,23,29,39,56,74,97,119,146,195,226,259,301,358,419,486,542,621,661,690,754,871
BC,0,0,0,1,1,1,1,1,1,1,2,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,6,6,6,6,7,7,7,7,7,8,8,8,12,12,20,20,26,26,31,38,45,52,63,63,63,93,176,221,261,338,414,414,462,607,649,715,782,874,874,960,1003,1056
MB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,7,8,15,17,17,17,19,20,20,21,35,36,39,64,72,96,103,127
ON,1,1,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,6,7,9,12,16,16,19,19,21,27,27,31,34,36,41,58,78,102,144,176,189,213,257,317,376,424,502,586,686,856,991,1142,1353,1730,1983,2388
NB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,6,7,8,11,11,11,17,17,17,18,26,33,45,51,66,68,70,81
NL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,3,3,4,6,9,24,35,67,82,102,120,135,148,152,175
NS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,7,12,14,15,21,28,41,51,68,73,90,110,122,127,147,173
NT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,2
NU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,3,3,3,5,9,11,11,11,18,21,21
QC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,3,3,4,5,5,8,17,17,24,39,50,74,94,121,139,181,219,628,1013,1339,1629,2021,2498,2840,3430,4162,4611
SK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,6,6,7,8,16,20,26,44,52,66,72,86,95,104,134,156,176,184,193
YT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,3,3,4,4,4,5,5,5
